,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-11-20 18:19:17.000,2025-11-20 18:19:15,383.0,22.0,192.0,56.0,224.0,4.0,2644.0,2025-11-20 18:19:20.000,2025.11.20,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-11-20 18:41:32.000,2025-11-06 18:40:58,419.0,12.0,112.0,16.0,332.0,37.0,1602.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-11-26 21:13:00.000,2025-11-26 21:13:00,17060.0,309.0,2950.0,192.0,6690.0,5349.0,13323.0,2025-11-12 13:05:30.000,9.0.1,188.0,1071.0,952.0,50,True,,pytest,conda-forge/pytest,['pytest'],27035.0,295292831.0,1784061.0,1682856.0,https://pypi.org/project/pytest,2025-11-12 13:05:07.000,101205.0,294600036.0,https://anaconda.org/conda-forge/pytest,2025-11-13 15:59:07.476,42238541.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-11-27 13:54:27.000,2025-11-27 12:30:53,13031.0,206.0,3044.0,233.0,8558.0,8931.0,20033.0,2025-09-19 00:09:39.000,1.18.2,131.0,821.0,3093.0,49,True,,mypy,conda-forge/mypy,,,83308904.0,362523.0,332235.0,https://pypi.org/project/mypy,2025-09-19 00:09:39.000,30288.0,83211715.0,https://anaconda.org/conda-forge/mypy,2025-09-19 11:11:52.790,6317296.0,1.0,,,,,,,,,,,,,,,,,,
6,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2025-11-27 14:09:33.000,2025-11-27 12:48:18,12966.0,978.0,1617.0,90.0,13490.0,5901.0,44057.0,2025-11-21 14:33:45.000,0.14.6,384.0,754.0,1608.0,47,True,astral-sh/ruff,ruff,conda-forge/ruff,,3172044.0,104148725.0,156981.0,132204.0,https://pypi.org/project/ruff,2025-11-21 14:25:24.000,24777.0,103853840.0,https://anaconda.org/conda-forge/ruff,2025-11-21 16:52:13.342,5178109.0,1.0,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-11-27 12:34:03.000,2025-11-27 12:33:57,6437.0,128.0,1445.0,226.0,825.0,1542.0,10943.0,2025-11-02 12:25:54.000,7.1.3,101.0,226.0,350.0,47,True,,psutil,conda-forge/psutil,,,245284858.0,777240.0,759514.0,https://pypi.org/project/psutil,2025-11-02 12:25:54.000,17726.0,244445134.0,https://anaconda.org/conda-forge/psutil,2025-11-02 14:20:35.921,53742376.0,1.0,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-11-26 19:10:35.000,2025-11-26 19:10:35,2085.0,71.0,2684.0,231.0,2048.0,2447.0,41191.0,2025-11-10 01:53:48.000,25.11.0,67.0,490.0,336.0,46,True,,black,conda-forge/black,,134664.0,90548032.0,696290.0,651925.0,https://pypi.org/project/black,2025-11-10 01:53:48.000,44365.0,90275095.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,17360263.0,1.0,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-11-26 20:17:21.000,2025-11-26 20:17:21,15626.0,187.0,3170.0,318.0,5952.0,6704.0,10008.0,2025-05-02 15:13:59.000,25.1.1,153.0,857.0,1033.0,46,True,,pip,conda-forge/pip,,,491994411.0,250322.0,244856.0,https://pypi.org/project/pip,2025-10-25 00:55:39.000,5466.0,489197647.0,https://anaconda.org/conda-forge/pip,2025-11-10 12:14:15.799,184586456.0,1.0,-1.0,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-10-09 16:10:55.602,2025-10-09 15:33:24,4293.0,9.0,1935.0,529.0,1311.0,1230.0,54588.0,2025-10-09 14:18:08.000,14.2.0,201.0,277.0,313.0,45,True,,rich,conda-forge/rich,,,274162230.0,509618.0,483995.0,https://pypi.org/project/rich,2025-10-09 14:16:51.000,25623.0,273907800.0,https://anaconda.org/conda-forge/rich,2025-10-09 16:10:55.602,16283535.0,1.0,,,,,,,,,,,,,,,,,,
11,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-11-25 09:51:07.000,2025-11-25 09:51:07,9878.0,71.0,2011.0,222.0,2638.0,5308.0,12737.0,2025-11-24 19:44:38.000,6.17.0,77.0,486.0,287.0,44,True,,pyinstaller,conda-forge/pyinstaller,,752166.0,5291248.0,86721.0,85290.0,https://pypi.org/project/pyinstaller,2025-11-24 19:42:30.000,1431.0,5260921.0,https://anaconda.org/conda-forge/pyinstaller,2025-11-24 23:02:49.924,1460246.0,1.0,,,,,,,,,,,,,,,,,,
12,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2025-11-24 22:10:41.000,2025-11-24 22:10:40,9878.0,166.0,1198.0,73.0,4866.0,4856.0,5615.0,2025-11-13 15:54:39.000,4.0.3,209.0,622.0,1018.0,44,True,pylint-dev/pylint,pylint,conda-forge/pylint,,476.0,37707979.0,495149.0,483595.0,https://pypi.org/project/pylint,2025-11-13 15:54:39.000,11554.0,37600137.0,https://anaconda.org/conda-forge/pylint,2025-11-13 20:59:59.654,7009219.0,1.0,,,,,,,,,,,,,,,,,,
13,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2025-10-31 08:00:32.000,2025-10-31 08:00:32,16489.0,10.0,1328.0,96.0,1957.0,2158.0,2781.0,2025-05-27 00:56:55.000,80.9.0,624.0,633.0,667.0,44,True,,setuptools,conda-forge/setuptools,,,867713532.0,854759.0,824474.0,https://pypi.org/project/setuptools,2025-05-27 00:56:49.000,30285.0,865108661.0,https://anaconda.org/conda-forge/setuptools,2025-06-01 19:09:46.361,171921549.0,1.0,,,,,,,,,,,,,,,,,,
