,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-31 16:58:34.000,2023-08-31 16:58:33,263.0,24.0,148.0,51.0,157.0,1.0,2.0,2001.0,2023-08-31 16:58:40.000,2023.08.31,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-09-04 16:35:12.000,2023-09-04 16:35:12,200.0,24.0,21.0,11.0,115.0,2.0,8.0,423.0,2023-06-29 18:48:34.000,2023.06.29,68.0,14.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-09-07 13:48:36.000,2023-09-07 12:39:02,15305.0,234.0,2394.0,193.0,5231.0,832.0,4619.0,10571.0,2023-09-02 15:41:11.000,7.4.1,163.0,904.0,48,True,,pytest,conda-forge/pytest,['pytest'],1030471.0,1013599.0,https://pypi.org/project/pytest,2023-09-02 15:23:09.000,16872.0,71528867.0,72166462.0,https://anaconda.org/conda-forge/pytest,2023-09-02 17:13:10.675,22315847.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-09-07 07:11:50.000,2023-09-07 07:11:50,1630.0,67.0,2137.0,230.0,1464.0,372.0,2013.0,33479.0,2023-07-11 00:23:56.321,23.7.0,47.0,391.0,46,True,,black,conda-forge/black,,422812.0,411008.0,https://pypi.org/project/black,2023-07-11 00:23:56.321,11804.0,25645749.0,25858065.0,https://anaconda.org/conda-forge/black,2023-07-11 16:38:59.698,8033875.0,1.0,48569.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-09-07 14:19:09.000,2023-09-07 14:19:07,8565.0,233.0,1890.0,363.0,1798.0,190.0,3870.0,24105.0,2023-09-01 14:35:15.000,2023.9.1,376.0,480.0,46,True,,pipenv,conda-forge/pipenv,,108232.0,106976.0,https://pypi.org/project/pipenv,2023-09-01 14:36:10.000,1256.0,10574544.0,10577682.0,https://anaconda.org/conda-forge/pipenv,2023-09-01 16:13:04.150,125540.0,1.0,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-09-07 01:37:31.000,2023-09-07 01:37:15,14120.0,245.0,969.0,90.0,1432.0,546.0,1796.0,2129.0,2023-09-06 23:29:12.000,68.2.0,198.0,581.0,46,True,,setuptools,conda-forge/setuptools,,385174.0,385174.0,https://pypi.org/project/setuptools,,,318178515.0,320441099.0,https://anaconda.org/conda-forge/setuptools,2023-08-18 18:33:06.882,90503381.0,1.0,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-09-04 16:13:09.000,2023-08-07 06:49:18,5962.0,21.0,1346.0,237.0,645.0,281.0,1405.0,9521.0,2023-07-20 15:38:39.940,0.1.0,90.0,198.0,45,True,,psutil,conda-forge/psutil,,378265.0,360975.0,https://pypi.org/project/psutil,2023-04-17 18:27:02.245,17290.0,69559106.0,69841446.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,25128263.0,1.0,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-09-06 10:58:38.000,2023-08-30 21:55:02,20393.0,272.0,1977.0,146.0,5022.0,1207.0,5470.0,5605.0,2023-08-30 22:10:05.000,7.2.5,197.0,784.0,45,True,,sphinx,conda-forge/sphinx,['sphinx'],389662.0,327019.0,https://pypi.org/project/sphinx,2023-08-30 22:10:05.000,62643.0,11047878.0,11252249.0,https://anaconda.org/conda-forge/sphinx,2023-08-30 22:30:27.970,8174845.0,1.0,,,,,,,,,,,,,,,,,
