,name,github_id,category,description,resource,homepage,contributor_count,github_url,license,created_at,updated_at,fork_count,open_issue_count,star_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,last_commit_pushed_at,commit_count,recent_commit_count,watchers_count,pr_count,closed_issue_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,github_release_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,17.0,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-09 17:36:28.000000,192.0,3.0,2617.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,{},63.0,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,https://packaging.python.org/overview/,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,https://docs.python.org/3/library/unittest.html,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,1164.0,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-09-01 11:50:22.000000,3337.0,809.0,14471.0,39,True,pytest,conda-forge/pytest,['pytest'],2073593.0,1881621.0,https://pypi.org/project/pytest,2026-06-19 10:58:31.000,2026-06-19 10:58:31.000,9.1.1,192.0,191972.0,912653634.0,913454012.0,https://anaconda.org/conda-forge/pytest,2026-06-22 11:24:21.473,56826874.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,149.0,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-09-06 00:35:39.692443,1499.0,614.0,31309.0,37,True,tqdm,conda-forge/tqdm,,1287193.0,1228681.0,https://pypi.org/project/tqdm,2026-07-27 11:33:13.000,2026-07-27 11:33:13.000,4.70.0,152.0,58512.0,510414118.0,511175265.0,https://anaconda.org/conda-forge/tqdm,2026-07-27 17:16:56.046,57081010.0,1.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-09-06 00:35:39.692443,3.0,9076.0,,,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,290.0,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-04-12 11:02:00.080000,2156.0,325.0,56361.0,36,True,rich,conda-forge/rich,,611042.0,567274.0,https://pypi.org/project/rich,2026-04-12 08:24:02.000,2026-04-12 08:24:02.000,15.0.0,207.0,43768.0,519950007.0,520301942.0,https://anaconda.org/conda-forge/rich,2026-04-12 11:02:00.080,26043198.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,556.0,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-08-10 21:24:42.000000,2841.0,299.0,41792.0,36,True,black,conda-forge/black,,756572.0,690845.0,https://pypi.org/project/black,2026-05-18 16:53:33.000,2026-05-18 16:53:33.000,26.5.1,74.0,65727.0,144322203.0,144588496.0,https://anaconda.org/conda-forge/black,2026-05-22 14:44:05.181,19705694.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,257.0,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-09-06 08:51:39.000000,1509.0,257.0,11272.0,36,True,psutil,conda-forge/psutil,,826441.0,806819.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,2026-01-28 18:14:57.000,7.2.2,104.0,19622.0,325763129.0,326723126.0,https://anaconda.org/conda-forge/psutil,2026-08-31 15:34:39.703,71039826.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,907.0,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-08-23 18:57:52.000000,3360.0,946.0,10271.0,36,True,pip,conda-forge/pip,,262359.0,256088.0,https://pypi.org/project/pip,2026-08-04 22:51:12.000,2026-08-04 22:51:12.000,26.2.1,160.0,6271.0,539123350.0,542457935.0,https://anaconda.org/conda-forge/pip,2026-08-05 07:22:12.178,253428525.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
